Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,RL,70.0,11200,Reg,Lvl,Inside,Gtl,Other,1Fam,1Story,5,5,1965,1965,Other,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,Other,906,Unf,0,134,1040,Ex,Y,1040,0,0,1040,1,0,1,0,3,1,TA,5,0,Missing,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,0,2,2008,WD,Normal,129500
12,60,RL,85.0,11924,IR1,Lvl,Inside,Gtl,Other,1Fam,2Story,9,5,2005,2006,Other,Other,Other,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,Ex,Y,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,0,7,2006,Other,Other,345000
13,20,RL,69.0,12968,IR2,Lvl,Inside,Gtl,Other,1Fam,1Story,5,6,1962,1962,Other,HdBoard,Other,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,TA,Y,912,0,0,912,1,0,1,0,2,1,TA,4,0,Missing,Detchd,1962.0,Unf,1,352,TA,TA,Y,140,0,0,0,176,0,0,9,2008,WD,Normal,144000
14,20,RL,91.0,10652,IR1,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,Ex,Y,1494,0,0,1494,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,2006.0,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,0,8,2007,Other,Other,279500
15,20,RL,69.0,10920,IR1,Lvl,Other,Gtl,NAmes,1Fam,1Story,6,5,1960,1960,Other,MetalSd,MetalSd,212.0,TA,TA,CBlock,TA,TA,No,Other,733,Unf,0,520,1253,TA,Y,1253,0,0,1253,1,0,1,1,2,1,TA,5,1,Other,Attchd,1960.0,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,0,5,2008,WD,Normal,157000
16,45,Other,51.0,6120,Reg,Lvl,Other,Gtl,Other,1Fam,Other,7,8,1929,2001,Gable,Other,Other,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,Ex,Y,854,0,0,854,0,0,1,0,2,1,TA,5,0,Missing,Detchd,1991.0,Unf,2,576,TA,TA,Y,48,112,0,0,0,0,0,7,2007,WD,Normal,132000
17,20,RL,69.0,11241,IR1,Lvl,Other,Gtl,NAmes,1Fam,1Story,6,7,1970,1970,Gable,Other,Other,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,Ex,Y,1004,0,0,1004,1,0,1,0,2,1,TA,5,1,TA,Attchd,1970.0,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,700,3,2010,WD,Normal,149000
18,90,RL,72.0,10791,Reg,Lvl,Inside,Gtl,Other,Other,1Story,4,5,1967,1967,Gable,MetalSd,MetalSd,0.0,TA,TA,Other,Other,Other,Other,Other,0,Other,0,0,0,TA,Y,1296,0,0,1296,0,0,2,0,2,2,TA,6,0,Missing,Other,1967.0,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,500,10,2006,WD,Normal,90000
19,20,RL,66.0,13695,Reg,Lvl,Inside,Gtl,Other,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,Ex,Y,1114,0,0,1114,1,0,1,1,3,1,Gd,6,0,Missing,Detchd,2004.0,Unf,2,576,TA,TA,Y,0,102,0,0,0,0,0,6,2008,WD,Normal,159000
20,20,RL,70.0,7560,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,6,1958,1965,Other,Other,Other,0.0,TA,TA,CBlock,TA,TA,No,Other,504,Unf,0,525,1029,TA,Y,1339,0,0,1339,0,0,1,0,3,1,TA,6,0,Missing,Attchd,1958.0,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,0,5,2009,Other,Other,139000
21,60,RL,101.0,14215,IR1,Lvl,Other,Gtl,Other,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,VinylSd,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,Ex,Y,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,240,154,0,0,0,0,0,11,2006,Other,Other,325300
22,45,Other,57.0,7449,Reg,Other,Inside,Gtl,Other,1Fam,Other,7,7,1930,1950,Gable,Other,Other,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,Ex,Y,1108,0,0,1108,0,0,1,0,3,1,Gd,6,1,Gd,Attchd,1930.0,Unf,1,280,TA,TA,Other,0,0,205,0,0,0,0,6,2007,WD,Normal,139400
23,20,RL,75.0,9742,Reg,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,8,5,2002,2002,Other,VinylSd,VinylSd,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,Ex,Y,1795,0,0,1795,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,2002.0,RFn,2,534,TA,TA,Y,171,159,0,0,0,0,0,9,2008,WD,Normal,230000
24,120,Other,44.0,4224,Reg,Lvl,Inside,Gtl,Other,Other,1Story,5,7,1976,1976,Gable,Other,Other,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,TA,Y,1060,0,0,1060,1,0,1,0,3,1,TA,6,1,TA,Attchd,1976.0,Unf,2,572,TA,TA,Y,100,110,0,0,0,0,0,6,2007,WD,Normal,129900
25,20,RL,69.0,8246,IR1,Lvl,Inside,Gtl,Other,1Fam,1Story,5,8,1968,2001,Gable,Other,Other,0.0,TA,Other,CBlock,TA,TA,Other,Other,188,Other,668,204,1060,Ex,Y,1060,0,0,1060,1,0,1,0,3,1,Gd,6,1,TA,Attchd,1968.0,Unf,1,270,TA,TA,Y,406,90,0,0,0,0,0,5,2010,WD,Normal,154000
26,20,RL,110.0,14230,Reg,Lvl,Other,Gtl,Other,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,Ex,Y,1600,0,0,1600,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,2007.0,RFn,3,890,TA,TA,Y,0,56,0,0,0,0,0,7,2009,WD,Normal,256300
27,20,RL,60.0,7200,Reg,Lvl,Other,Gtl,NAmes,1Fam,1Story,5,7,1951,2000,Gable,Other,Other,0.0,TA,TA,CBlock,TA,TA,Other,Other,234,Other,486,180,900,TA,Y,900,0,0,900,0,1,1,0,3,1,Gd,5,0,Missing,Detchd,2005.0,Unf,2,576,TA,TA,Y,222,32,0,0,0,0,0,5,2010,WD,Normal,134800
28,20,RL,98.0,11478,Reg,Lvl,Inside,Gtl,Other,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,Ex,Y,1704,0,0,1704,1,0,2,0,3,1,Gd,7,1,Gd,Attchd,2008.0,RFn,3,772,TA,TA,Y,0,50,0,0,0,0,0,5,2010,WD,Normal,306000
29,20,RL,47.0,16321,IR1,Lvl,Other,Gtl,NAmes,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,Gd,Other,1277,Unf,0,207,1484,TA,Y,1600,0,0,1600,1,0,1,0,2,1,TA,6,2,Gd,Attchd,1957.0,RFn,1,319,TA,TA,Y,288,258,0,0,0,0,0,12,2006,WD,Normal,207500
30,30,Other,60.0,6324,IR1,Lvl,Inside,Gtl,Other,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,Other,Other,520,0,0,520,0,0,1,0,1,1,Fa,4,0,Missing,Detchd,1920.0,Unf,1,240,Other,TA,Y,49,0,87,0,0,0,0,5,2008,WD,Normal,68500
31,70,Other,50.0,8500,Reg,Lvl,Inside,Gtl,Other,1Fam,2Story,4,4,1920,1950,Other,Other,Other,0.0,TA,Other,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,TA,Other,649,668,0,1317,0,0,1,0,3,1,TA,6,0,Missing,Detchd,1920.0,Unf,1,250,TA,Other,Other,0,54,172,0,0,0,0,7,2008,WD,Normal,40000
32,20,RL,69.0,8544,IR1,Lvl,Other,Gtl,Other,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,Gd,Y,1228,0,0,1228,0,0,1,1,3,1,Gd,6,0,Missing,Attchd,1966.0,Unf,1,271,TA,TA,Y,0,65,0,0,0,0,0,6,2008,WD,Normal,149350
33,20,RL,85.0,11049,Reg,Lvl,Other,Gtl,CollgCr,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,Ex,Y,1234,0,0,1234,0,0,2,0,3,1,Gd,7,0,Missing,Attchd,2007.0,RFn,2,484,TA,TA,Y,0,30,0,0,0,0,0,1,2008,WD,Normal,179900
34,20,RL,70.0,10552,IR1,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,5,1959,1959,Other,Other,Other,0.0,TA,TA,CBlock,TA,TA,No,Other,1018,Unf,0,380,1398,Gd,Y,1700,0,0,1700,0,1,1,1,4,1,Gd,6,1,Gd,Attchd,1959.0,RFn,2,447,TA,TA,Y,0,38,0,0,0,0,0,4,2010,WD,Normal,165500
35,120,RL,60.0,7313,Reg,Lvl,Inside,Gtl,Other,Other,1Story,9,5,2005,2005,Other,MetalSd,MetalSd,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,Ex,Y,1561,0,0,1561,1,0,2,0,2,1,Ex,6,1,Gd,Attchd,2005.0,Fin,2,556,TA,TA,Y,203,47,0,0,0,0,0,8,2007,WD,Normal,277500
36,60,RL,108.0,13418,Reg,Lvl,Inside,Gtl,Other,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,Ex,Y,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,1,Gd,BuiltIn,2004.0,Fin,3,691,TA,TA,Y,113,32,0,0,0,0,0,9,2006,WD,Normal,309000
37,20,RL,112.0,10859,Reg,Lvl,Other,Gtl,CollgCr,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,Ex,Y,1097,0,0,1097,0,0,1,1,3,1,TA,6,0,Missing,Attchd,1995.0,Unf,2,672,TA,TA,Y,392,64,0,0,0,0,0,6,2009,WD,Normal,145000
38,20,RL,74.0,8532,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,6,1954,1990,Other,Other,Other,650.0,TA,TA,CBlock,TA,TA,No,Other,1213,Unf,0,84,1297,Gd,Y,1297,0,0,1297,0,1,1,0,3,1,TA,5,1,TA,Attchd,1954.0,Fin,2,498,TA,TA,Y,0,0,0,0,0,0,0,10,2009,WD,Normal,153000
39,20,RL,68.0,7922,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,0.0,TA,Other,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,TA,Y,1057,0,0,1057,1,0,1,0,3,1,Gd,5,0,Missing,Detchd,1953.0,Unf,1,246,TA,TA,Y,0,52,0,0,0,0,0,1,2010,WD,Other,109000
40,90,RL,65.0,6040,Reg,Lvl,Inside,Gtl,Other,Other,1Story,4,5,1955,1955,Gable,Other,Other,0.0,TA,TA,PConc,Other,Other,Other,Other,0,Other,0,0,0,TA,Other,1152,0,0,1152,0,0,2,0,2,2,Fa,6,0,Missing,Other,1980.0,Missing,0,0,Other,Other,Other,0,0,0,0,0,0,0,6,2008,WD,Other,82000
41,20,RL,84.0,8658,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,6,5,1965,1965,Gable,Other,Other,101.0,TA,TA,CBlock,TA,TA,No,Other,643,Unf,0,445,1088,Ex,Y,1324,0,0,1324,0,0,2,0,3,1,TA,6,1,TA,Attchd,1965.0,RFn,2,440,TA,TA,Y,0,138,0,0,0,0,0,12,2006,WD,Other,160000
42,20,RL,115.0,16905,Reg,Lvl,Inside,Gtl,Other,1Fam,1Story,5,6,1959,1959,Gable,VinylSd,VinylSd,0.0,TA,Other,CBlock,TA,TA,Gd,Other,967,Unf,0,383,1350,Gd,Y,1328,0,0,1328,0,1,1,1,2,1,TA,5,2,Gd,Attchd,1959.0,RFn,1,308,TA,TA,Other,0,104,0,0,0,0,0,7,2007,WD,Normal,170000
43,85,RL,69.0,9180,IR1,Lvl,Other,Gtl,Other,1Fam,Other,5,7,1983,1983,Gable,HdBoard,HdBoard,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,Other,93,0,840,Gd,Y,884,0,0,884,1,0,1,0,2,1,Gd,5,0,Missing,Attchd,1983.0,RFn,2,504,TA,Other,Y,240,0,0,0,0,0,0,12,2007,WD,Normal,144000
44,20,RL,69.0,9200,IR1,Lvl,Other,Gtl,CollgCr,1Fam,1Story,5,6,1975,1980,Other,VinylSd,VinylSd,0.0,TA,TA,CBlock,Gd,TA,Av,Other,280,Other,491,167,938,TA,Y,938,0,0,938,1,0,1,0,3,1,TA,5,0,Missing,Detchd,1977.0,Unf,1,308,TA,TA,Y,145,0,0,0,0,0,0,7,2008,WD,Normal,130250
45,20,RL,70.0,7945,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,6,1959,1959,Gable,Other,Other,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,Other,506,465,1150,Ex,Y,1150,0,0,1150,1,0,1,0,3,1,TA,6,0,Missing,Attchd,1959.0,RFn,1,300,TA,TA,Y,0,0,0,0,0,0,0,5,2006,WD,Normal,141000
46,120,RL,61.0,7658,Reg,Lvl,Inside,Gtl,Other,Other,1Story,9,5,2005,2005,Other,MetalSd,MetalSd,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,Ex,Y,1752,0,0,1752,1,0,2,0,2,1,Ex,6,1,Gd,Attchd,2005.0,RFn,2,576,TA,TA,Y,196,82,0,0,0,0,0,2,2010,WD,Normal,319900
47,50,RL,48.0,12822,IR1,Lvl,Other,Gtl,Other,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,1434,Ex,Y,1518,631,0,2149,1,0,1,1,1,1,Gd,6,1,Other,Attchd,2003.0,RFn,2,670,TA,TA,Y,168,43,0,0,198,0,0,8,2009,WD,Other,239686
48,20,Other,84.0,11096,Reg,Lvl,Inside,Gtl,Other,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,Ex,Y,1656,0,0,1656,0,0,2,0,3,1,Gd,7,0,Missing,Attchd,2006.0,RFn,3,826,TA,TA,Y,0,146,0,0,0,0,0,7,2007,WD,Normal,249700
49,190,Other,33.0,4456,Reg,Lvl,Inside,Gtl,OldTown,Other,2Story,4,5,1920,2008,Gable,MetalSd,MetalSd,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,736,736,Gd,Y,736,716,0,1452,0,0,2,0,2,3,TA,8,0,Missing,Other,1980.0,Missing,0,0,Other,Other,Other,0,0,102,0,0,0,0,6,2009,Other,Other,113000
50,20,RL,66.0,7742,Reg,Lvl,Inside,Gtl,Other,1Fam,1Story,5,7,1966,1966,Gable,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,Other,763,Unf,0,192,955,Ex,Y,955,0,0,955,1,0,1,0,3,1,TA,6,0,Missing,Attchd,1966.0,Unf,1,386,TA,TA,Y,0,0,0,0,0,0,0,1,2007,WD,Normal,127000
51,60,RL,69.0,13869,IR2,Lvl,Other,Gtl,Other,1Fam,2Story,6,6,1997,1997,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,794,Gd,Y,794,676,0,1470,0,1,2,0,3,1,TA,6,0,Missing,Attchd,1997.0,Fin,2,388,TA,TA,Y,0,75,0,0,0,0,0,7,2007,WD,Normal,177000
52,50,Other,52.0,6240,Reg,Lvl,Inside,Gtl,Other,1Fam,1.5Fin,6,6,1934,1950,Gable,Other,Other,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,816,816,TA,Y,816,0,360,1176,0,0,1,0,3,1,TA,6,1,Gd,Detchd,1985.0,Unf,2,528,TA,TA,Y,112,0,0,0,0,0,400,9,2006,WD,Normal,114500
53,90,Other,110.0,8472,IR2,Other,Other,Other,Other,Other,1Story,5,5,1963,1963,Gable,Other,Other,0.0,Fa,TA,CBlock,Gd,TA,Gd,Other,104,Other,712,0,816,TA,Other,816,0,0,816,1,0,1,0,2,1,TA,5,0,Missing,Other,1963.0,Unf,2,516,TA,TA,Y,106,0,0,0,0,0,0,5,2010,WD,Normal,110000
54,20,RL,68.0,50271,IR1,Other,Inside,Gtl,Other,1Fam,1Story,9,5,1981,1987,Gable,Other,Other,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842,Gd,Y,1842,0,0,1842,2,0,0,1,0,1,Gd,5,1,Gd,Attchd,1981.0,Fin,3,894,TA,TA,Y,857,72,0,0,0,0,0,11,2006,WD,Normal,385000
55,80,RL,60.0,7134,Reg,Other,Inside,Other,NAmes,1Fam,Other,5,5,1955,1955,Gable,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,ALQ,384,Unf,0,0,384,TA,Y,1360,0,0,1360,0,0,1,0,3,1,TA,6,1,TA,Detchd,1962.0,Unf,2,572,TA,TA,Y,0,50,0,0,0,0,0,2,2007,WD,Normal,130000
56,20,RL,100.0,10175,IR1,Lvl,Inside,Gtl,NAmes,1Fam,1Story,6,5,1964,1964,Gable,HdBoard,Other,272.0,TA,TA,CBlock,TA,TA,No,Other,490,Unf,0,935,1425,Gd,Y,1425,0,0,1425,0,0,2,0,3,1,TA,7,1,Gd,Attchd,1964.0,RFn,2,576,TA,TA,Y,0,0,0,407,0,0,0,7,2008,WD,Normal,180500
57,160,Other,24.0,2645,Reg,Lvl,Inside,Gtl,Other,Other,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,649,Unf,0,321,970,Ex,Y,983,756,0,1739,1,0,2,1,3,1,Gd,7,0,Missing,Attchd,1999.0,Fin,2,480,TA,TA,Y,115,0,0,0,0,0,0,8,2009,WD,Other,172500
58,60,RL,89.0,11645,IR1,Lvl,Other,Gtl,CollgCr,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,860,860,Ex,Y,860,860,0,1720,0,0,2,1,3,1,Gd,7,0,Missing,Attchd,2004.0,RFn,2,565,TA,TA,Y,0,70,0,0,0,0,0,8,2006,WD,Normal,196500
59,60,RL,66.0,13682,IR2,Other,Other,Gtl,Other,1Fam,2Story,10,5,2006,2006,Other,VinylSd,VinylSd,1031.0,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,1410,1410,Ex,Y,1426,1519,0,2945,0,0,3,1,3,1,Gd,10,1,Gd,BuiltIn,2006.0,Fin,3,641,TA,TA,Y,192,0,37,0,0,0,0,10,2006,Other,Other,438780
60,20,RL,60.0,7200,Reg,Other,Inside,Gtl,CollgCr,1Fam,1Story,5,7,1972,1972,Gable,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,632,Unf,0,148,780,Ex,Y,780,0,0,780,0,0,1,0,2,1,TA,4,0,Missing,Detchd,1973.0,Unf,1,352,TA,TA,Y,196,0,0,0,0,0,0,1,2008,WD,Normal,124900
61,20,RL,63.0,13072,Reg,Lvl,Inside,Gtl,Other,1Fam,1Story,6,5,2004,2004,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,ALQ,941,Unf,0,217,1158,Ex,Y,1158,0,0,1158,1,0,1,1,3,1,Gd,5,0,Missing,Detchd,2006.0,Unf,2,576,TA,TA,Y,0,50,0,0,0,0,0,5,2006,Other,Other,158000
62,75,Other,60.0,7200,Reg,Lvl,Inside,Gtl,Other,1Fam,Other,5,7,1920,1996,Gable,MetalSd,MetalSd,0.0,TA,TA,BrkTil,TA,Other,No,Unf,0,Unf,0,530,530,TA,Other,581,530,0,1111,0,0,1,0,3,1,Fa,6,0,Missing,Detchd,1935.0,Unf,1,288,TA,TA,Other,0,0,144,0,0,0,0,3,2007,WD,Normal,101000
63,120,RL,44.0,6442,IR1,Lvl,Inside,Gtl,Other,Other,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,178.0,Gd,TA,PConc,Gd,Other,Other,GLQ,24,Unf,0,1346,1370,Ex,Y,1370,0,0,1370,0,0,2,0,2,1,Gd,6,1,Gd,Attchd,2006.0,RFn,2,484,TA,TA,Y,120,49,0,0,0,0,0,10,2007,WD,Normal,202500
